,time [fs]
2102,2.664627650017732e-13
2103,2.670499537573963e-13
2104,2.67637596807883e-13
2105,2.6822235749594695e-13
2106,2.688055366433272e-13
2107,2.693893658336327e-13
2108,2.699738791381411e-13
2109,2.705585158715348e-13
2110,2.7114407186934193e-13
2111,2.7173037118879154e-13
2112,2.723156919185835e-13
2113,2.729002670784557e-13
2114,2.7348584888211983e-13
2115,2.7407252783121145e-13
2116,2.746595413741135e-13
2117,2.752457426572049e-13
2118,2.7583037594891597e-13
2119,2.76414895035674e-13
2120,2.7700088283822397e-13
2121,2.775868842102815e-13
2122,2.781722686774167e-13
2123,2.7875986448474434e-13
2124,2.7934999589873656e-13
2125,2.7993896258679825e-13
2126,2.8052450723344235e-13
2127,2.811096687727701e-13
2128,2.816970167442277e-13
2129,2.822827992614555e-13
2130,2.8286507002014877e-13
2131,2.834492520822751e-13
2132,2.840362730595891e-13
2133,2.8462029546165774e-13
2134,2.8520285643013324e-13
2135,2.8578943341894043e-13
2136,2.86376275135969e-13
2137,2.869584736896975e-13
2138,2.875403747036307e-13
2139,2.881252094841199e-13
2140,2.887097716249281e-13
2141,2.8929331557376925e-13
2142,2.8987786722223094e-13
2143,2.9046051801168723e-13
2144,2.9103982596194127e-13
2145,2.916216972801008e-13
2146,2.9220761030419864e-13
2147,2.9279152143724483e-13
2148,2.9337276943517335e-13
2149,2.93955390916753e-13
2150,2.9453825783301375e-13
2151,2.951207184922349e-13
2152,2.957052655650543e-13
2153,2.962897159273957e-13
2154,2.968727360548007e-13
2155,2.974581473165734e-13
2156,2.980461603769641e-13
2157,2.9863343368060543e-13
2158,2.99219150736771e-13
2159,2.9980434612901297e-13
2160,3.0038844415904673e-13
2161,3.009706171417235e-13
2162,3.0155196811525176e-13
2163,3.021331836611416e-13
2164,3.027144172809876e-13
2165,3.032970949951831e-13
2166,3.0388215056340475e-13
2167,3.044677473290207e-13
2168,3.0505165173945485e-13
2169,3.0563474857579834e-13
2170,3.0621782389685776e-13
2171,3.0680002289345707e-13
2172,3.0738230155080417e-13
2173,3.0796650330816366e-13
2174,3.08551737927528e-13
2175,3.09134949594819e-13
2176,3.0971719910493314e-13
2177,3.1030153247896004e-13
2178,3.108854767434128e-13
2179,3.114668028850909e-13
2180,3.120491856244041e-13
2181,3.1263403927023705e-13
2182,3.132187796928619e-13
2183,3.1380486817697277e-13
2184,3.143933384388872e-13
2185,3.149804914666094e-13
2186,3.1556510796987514e-13
2187,3.1614876281083787e-13
2188,3.167313921393161e-13
2189,3.173135638762923e-13
2190,3.1789698640754247e-13
2191,3.1848212279594e-13
2192,3.190683359091022e-13
2193,3.196551120340788e-13
2194,3.202434617931548e-13
2195,3.2083249231623097e-13
2196,3.2141876142734077e-13
2197,3.220026938230783e-13
2198,3.2258759182317694e-13
2199,3.231741268569456e-13
2200,3.23761769473083e-13
